author_id,wordcount,n_sentences,GLAUx?,lemmata_wordcount,count_λυπέω,count_λυπηρός,count_λύπη,count_ἄλγος,count_ἄλγημα,count_ἀλγέω,count_ὀδύνη,count_ὀδυνάω,count_πονέω,count_πόνος,works_N,author
tlg0003,150118,6068,1,77750,10,11,4,0,0,2,0,0,10,21,1,Thucydides
tlg0006,134129,14482,13,84242,18,5,33,33,0,24,10,2,25,152,17,Euripides
tlg0010,119155,4681,30,59822,38,2,7,0,0,6,0,0,20,24,30,Isocrates
tlg0011,61793,6197,8,36277,16,3,16,16,2,17,7,2,19,49,8,Sophocles
tlg0014,294362,14564,61,153707,35,4,3,1,1,5,0,0,7,13,63,Demosthenes
tlg0016,184947,10149,1,103179,8,1,2,1,0,8,1,0,2,25,1,Herodotus
tlg0017,34075,2986,12,17679,1,0,0,0,0,0,0,0,0,0,12,Isaeus
tlg0019,94897,11585,11,52313,15,1,2,1,0,10,3,7,6,13,11,Aristophanes
tlg0026,51409,3469,3,25177,2,2,1,0,0,2,0,1,0,2,4,Aeschines [Sp.]
tlg0027,18987,1958,4,9088,1,0,1,0,0,0,0,0,0,1,4,Andocides
tlg0028,22136,2405,6,9077,0,0,1,0,0,0,0,0,1,0,6,Antiphon
tlg0030,12025,1392,6,5838,2,0,2,0,0,0,0,0,0,2,6,Hyperides
tlg0032,312187,18988,14,162421,51,9,14,2,0,5,3,0,74,87,14,Xenophon
tlg0034,12400,1382,1,5724,0,0,0,0,0,1,0,0,0,1,1,Lycurgus
tlg0058,13993,745,1,7392,0,0,0,0,0,0,0,0,5,0,1,Aeneas Tacticus
tlg0059,574294,52384,37,284921,68,21,227,1,0,19,14,4,20,101,37,Plato
tlg0064,644,64,1,399,0,0,0,0,0,0,0,0,0,0,1,Hanno
tlg0065,8685,1087,0,5137,0,0,0,0,0,0,0,0,0,0,1,Scylax
tlg0066,2757,207,0,1434,0,0,0,0,0,0,0,0,0,1,1,Ps. Dicaearchus
tlg0085,40335,4020,7,26866,0,0,4,22,0,5,3,0,8,62,7,Aeschylus
tlg0086,840271,60282,30,381589,120,87,202,3,3,20,5,0,59,48,35,Aristotle
tlg0088,19792,2510,0,8395,0,0,0,0,0,0,0,0,0,2,1,Aristoxenus
tlg0093,135499,17454,1,59751,8,3,25,0,1,1,2,0,8,8,9,Theophrastus
tlg0199,5142,553,2,3356,0,0,0,1,0,0,0,0,0,1,2,Bacchylides
tlg0341,7477,336,1,5587,0,0,0,2,0,0,0,0,0,2,1,Lycophron
tlg0535,2092,207,1,1064,2,0,1,0,0,0,0,0,1,2,1,Demades
tlg0540,58875,4258,34,29488,7,0,2,0,0,0,0,0,1,1,34,Lysias
tlg0591,924,61,0,417,0,0,0,0,0,0,0,0,0,0,1,Antisthenes
tlg0593,2451,249,0,1204,0,0,0,0,0,0,0,0,0,2,1,Gorgias of Leontini
tlg0610,5983,263,0,3016,0,0,1,0,0,0,0,0,0,3,2,Alcidamas
tlg0627,333443,24456,51,195577,45,3,11,14,192,186,760,63,220,490,52,Hippocrates
tlg0751,1680,97,1,828,0,0,0,0,0,0,1,0,2,5,1,pseudo-Hippocrates
tlg1210,18219,1097,2,7686,0,0,0,0,0,0,0,0,0,0,2,Autolycus
tlg1409,378,61,0,179,0,0,0,0,0,0,0,0,0,0,1,Heraclides Ponticus
tlg1486,4136,1235,0,1713,0,0,0,0,0,0,0,0,0,0,2,Matron of Pitana
