,pattern,replacement,match,c_aristotelicum,c_platonicum,c_hippocraticum
0,^λ[υ|ύ]π.+,λύπ*,λυπέοιτο,0,0,1
1,^λ[υ|ύ]π.+,λύπ*,λυπουμένου,1,1,0
2,^λ[υ|ύ]π.+,λύπ*,λυπεόντων,0,0,1
3,^λ[υ|ύ]π.+,λύπ*,λύπη,197,229,11
4,^λ[υ|ύ]π.+,λύπ*,λυπρᾷ,1,0,0
5,^λ[υ|ύ]π.+,λύπ*,λύπαςοὐ,1,0,0
6,^λ[υ|ύ]π.+,λύπ*,λυπέεται,0,0,3
7,^λ[υ|ύ]π.+,λύπ*,λυπέον,0,0,8
8,^λ[υ|ύ]π.+,λύπ*,λυπέοντος,0,0,1
9,^λ[υ|ύ]π.+,λύπ*,λυπέουσα,0,0,1
10,^λ[υ|ύ]π.+,λύπ*,λυπούμενα,1,1,0
11,^λ[υ|ύ]π.+,λύπ*,λυπεῖταἰ,1,0,0
12,^λ[υ|ύ]π.+,λύπ*,λυπέωσι,0,0,1
13,^λ[υ|ύ]π.+,λύπ*,λυπέονταί,0,0,1
14,^λ[υ|ύ]π.+,λύπ*,λυπέουσιν,0,0,1
15,^λ[υ|ύ]π.+,λύπ*,λυποδίαν,1,0,0
16,^λ[υ|ύ]π.+,λύπ*,λυπούμενον,4,9,0
17,^λ[υ|ύ]π.+,λύπ*,λύπημα,0,0,1
18,^λ[υ|ύ]π.+,λύπ*,λύπαςμεσότης,1,0,0
19,^λ[υ|ύ]π.+,λύπ*,λυπέω,113,50,16
20,^λ[υ|ύ]π.+,λύπ*,λυπηθῆ,1,0,0
21,^λ[υ|ύ]π.+,λύπ*,λυπέοντα,0,0,3
22,^λ[υ|ύ]π.+,λύπ*,λυπέῃ,0,0,5
23,^λ[υ|ύ]π.+,λύπ*,λυπηρός,83,21,3
24,^λ[υ|ύ]π.+,λύπ*,λυπέουσαν,0,0,1
25,^λ[υ|ύ]π.+,λύπ*,λυπητικός,1,0,0
26,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγήμασι,0,0,2
27,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγικοί,0,0,1
28,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέοντάς,0,0,1
29,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ὑπεραλγέω,2,0,0
30,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,καρδιαλγικὰ,0,0,4
31,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγέειν,0,0,5
32,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀνάλγητος,6,0,3
33,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,ἀλγοῦντες,1,0,0
34,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,λαλγίην,0,0,1
35,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγήσει,0,0,1
36,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίῃ,0,0,2
37,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,προαλγήσασαι,0,0,2
38,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,προαλγήσαντες,0,0,1
39,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγέες,0,0,9
40,[α|ά|ἀ|ἄ]λγ.+,ἄλγ*,κεφαλαλγίῃσιν,0,0,1
