,greek,english,category,count
249,ἀγαθός,good,morality,8832
6,κακός,bad,morality,4780
209,σῶμα,body,bodily parts,4651
32,φίλος,"loved, beloved, dear",morality,3534
248,ἀδικέω,to do wrong,morality,2134
94,ἄξιος,weighing as much,morality,1622
259,ἡδονή,pleasure,opossite,1602
106,σῴζω,preserve,opossite,1274
241,ἡδύς,plaesant,opossite,1239
163,πόνος,"hardship, pain",pain,1118
199,αἰσχρός,"causing shame, abusive",morality,1021
74,πυρετός,"burning heat, fiery heat",pathology,1020
237,κίνδυνος,"a danger, risk, hazard, venture, enterprise",suffering,983
0,χαίρω,rejoice,opossite,896
42,φοβέω,to put to flight,emotions,856
2,πονηρός,"toilsome, painful, grievous",pain,838
358,ὀδύνη,pain,pain,809
230,φιλέω,"to love, regard with affection",emotions,804
108,σάρξ,flesh,bodily parts,779
160,φλέψ,a vein,bodily parts,724
11,ὠφελέω,"to help, aid, assist, succour, to be of use",opossite,715
111,σιτίον,"grain, corn: food made from grain, bread",dietetics,664
289,φόβος,fear,emotions,640
66,ἐλπίς,"hope, expectation",opossite,623
62,ἁμαρτάνω,"to miss, miss the mark",suffering,608
240,λύπη,pain,pain,559
261,ἐπιθυμία,desire,opossite,557
256,ἡλικία,"time of life, age",dietetics,542
134,ὄμμα,the eye,bodily parts,529
51,οὖς,"auris, the ear",bodily parts,500
80,ἕλκος,wound,pathology,490
203,πονέω,toil,dietetics,488
72,ὀργή,natural impulse,emotions,468
49,λυπέω,be in pain,pain,447
320,τάλας,suffering,suffering,436
47,ὕπνος,"sleep, slumber",dietetics,436
35,αἰσχύνω,"to make ugly, disfigure, mar",suffering,435
18,μισέω,hate,morality,434
32,καρδία,the heart,bodily parts,433
120,ἀνδρεῖος,of,morality,423
234,τιμωρέω,"to help, aid, succour",opossite,423
87,σώφρων,of sound mind,morality,421
70,χολή,"gall, bile",bodily parts,421
4,διάκειμαι,to be affected,suffering,401
56,ὑγιαίνω,"to be sound, healthy",opossite,395
169,μέτριος,moderate,dietetics,392
167,ἀναλίσκω,consume,dietetics,385
133,θερμαίνω,"to warm, heat",pathology,382
180,ἀνδρεία,"manliness, manhood, manly spirit",morality,378
2,ἥδομαι,feel pleasure,opossite,370
29,θαρσέω,"to be of good courage, take courage",morality,356
55,βάρος,heaviness,pathology,353
293,ἔρως,love,opossite,347
25,ὀργίζω,irritate,suffering,339
119,ἐράω,"to love, to be in love with",emotions,337
294,θυμός,desire,opossite,334
253,κάμνω,to work,dietetics,332
229,ἰσχύς,strength,dietetics,331
296,κακία,badness,morality,329
13,ἐλπίζω,"to hope for, look for, expect",opossite,314
33,ἀλγέω,be in pain,pain,311
182,ἀδικία,"wrong-doing, injustice",morality,311
59,ὄλλυμι,"to destroy, make an end of",suffering,300
52,ἐξαμαρτάνω,"to err from the mark, fail",morality,294
395,στῆθος,breast,bodily parts,284
0,ὠφέλιμος,"helping, useful, serviceable, profitable, advantageous, beneficial",opossite,280
110,θερμότης,heat,pathology,266
53,μηρός,the thigh,bodily parts,265
19,φοβερός,fearful,emotions,257
72,μαίνομαι,"to rage, be furious",emotions,252
12,δάκρυον,a tear,emotions,251
90,γῆρας,old age,pathology,248
231,σωφρονέω,to be sound of mind,morality,243
217,ἰσχίον,the hip-joint,bodily parts,241
0,πάθημα,"anything that befals one, a suffering, calamity, misfortune",pathology,241
57,ἧπαρ,liver,bodily parts,240
43,εὐτυχέω,"to be well off, successful, prosperous",opossite,236
61,κύστις,the bladder,bodily parts,236
143,κάλλος,beauty,opossite,235
25,ποτόν,drink,dietetics,227
209,πονηρία,a bad state,morality,222
70,σπλήν,"the milt, spleen",bodily parts,219
3,ἀγαπάω,"to treat with affection, to caress, love, be fond of",opossite,219
252,ἀκρατής,"powerless, impotent",dietetics,218
227,ἀσκέω,"to work curiously, form by art, fashion",dietetics,217
218,ἁμάρτημα,"a failure, fault, sin",morality,211
1,ἀγανακτέω,to be displeased,emotions,211
48,ὑποχόνδριος,abdomen,bodily parts,207
28,φθονέω,be jealous,morality,205
81,αἰσχύνη,"shame done one, disgrace, dishonour",morality,201
162,ῥῖγος,"frost, cold",pathology,199
61,μανία,"madness, frenzy",emotions,199
45,ἄλγημα,pain,pain,199
167,ἐνδεής,in need of,dietetics,199
