word,count
λέγω,29114
ἔχω,22584
γίγνομαι,21737
πολύς,20652
πᾶς,19062
ποιέω,14383
φημί,11785
δέω,9389
λόγος,9063
πόλις,8901
ἀγαθός,8832
δοκέω,8323
ἀνήρ,7793
μέγας,7622
ἐκεῖνος,7579
λαμβάνω,6552
εἷς,6462
ἕτερος,6332
ἄνθρωπος,6255
πρῶτος,6046
ὁράω,5935
ἕκαστος,5702
οἶδα,5419
βούλομαι,5328
θεός,4873
χρόνος,4862
κακός,4780
ἔρχομαι,4672
σῶμα,4651
ἅπας,4575
δίδωμι,4499
ἀρχή,4424
φαίνω,4335
νόμος,4228
φύσις,4181
οἴομαι,4171
πράσσω,4120
Ἀθηναῖος,4088
δύναμαι,4068
μηδείς,3995
καλός,3981
ὑπάρχω,3939
χράω,3726
παῖς,3632
χρή,3603
ἀκούω,3554
φίλος,3534
γῆ,3478
ἀνάγκη,3394
δίκαιος,3329
τρόπος,3314
φέρω,3259
ἡμέρα,3254
ἐναντίος,3193
καλέω,3154
συμβαίνω,3108
ἄρχω,3081
πατήρ,3046
τυγχάνω,3041
πρᾶγμα,3022
γυνή,2992
γένος,2912
πάσχω,2907
ἀληθής,2862
μικρός,2827
τίθημι,2744
δύο,2712
δύναμις,2669
ψυχή,2652
κινέω,2625
πάρειμι,2618
μέρος,2614
Ζεύς,2605
ἔργον,2604
ὕδωρ,2589
ἔοικα,2540
δῆλος,2497
πείθω,2426
μέλλω,2396
νομίζω,2389
ὀλίγος,2387
ἐθέλω,2385
γιγνώσκω,2341
χρῆμα,2340
ναῦς,2294
ἡγέομαι,2287
μόνος,2277
Ἕλλην,2246
ἄγω,2229
ὄνομα,2189
ἀρετή,2164
ἴδιος,2150
ἀδικέω,2134
τοσοῦτος,2086
ζῷον,2074
Σωκράτης,2073
βασιλεύς,2011
εἶδος,2003
ὅλος,2000
ἐλαχύς,1987
διαφέρω,1976
φανερός,1958
καθίστημι,1948
χώρα,1948
παρέχω,1945
ὅμοιος,1945
δίκη,1933
μέσος,1921
γράφω,1918
κοινός,1885
δεινός,1880
ἀναγκαῖος,1871
Λακεδαιμόνιος,1864
τόπος,1861
χείρ,1843
πόλεμος,1817
κίνησις,1780
αἴτιος,1777
οὐσία,1766
ταχύς,1751
κελεύω,1745
φύω,1730
πολέμιος,1723
ἥσσων,1711
ἀποδίδωμι,1696
ἴσος,1687
ἀφικνέομαι,1675
λευκός,1660
ζάω,1659
αἱρέω,1655
μανθάνω,1628
ἄξιος,1622
βίος,1614
αἰτία,1604
ἡδονή,1602
ἐπιστήμη,1598
θερμός,1590
κεφαλή,1577
ἀπόλλυμι,1577
ἀμφότερος,1571
ἐνδέχομαι,1570
ἀδύνατος,1567
πλῆθος,1550
πρότερος,1547
εὑρίσκω,1542
πῦρ,1542
ἔνιοι,1538
ἑκάτερος,1480
τέχνη,1480
δῆμος,1479
φεύγω,1472
ἥκω,1470
προσήκω,1469
σκοπέω,1448
ποῖος,1437
τρεῖς,1431
νόσος,1426
ὁμολογέω,1422
ἵππος,1418
νέος,1402
ἀξιόω,1396
σύμμαχος,1387
πέμπω,1386
συμφέρω,1372
πολίτης,1366
ὑγρός,1349
μήτηρ,1348
κοιλία,1348
λοιπός,1342
δυνατός,1339
ἐάω,1329
δείκνυμι,1329
μέγεθος,1314
Κῦρος,1313
κρίνω,1293
θνῄσκω,1290
πολιτεία,1280
σῴζω,1274
δόξα,1269
θάλασσα,1268
κεῖμαι,1266
ζητέω,1260
οἶνος,1254
ἀριθμός,1253
τελευτάω,1240
ἐπίσταμαι,1240
ἀποθνῄσκω,1239
ἡδύς,1239
ξένος,1235
δικαστής,1235
ἵστημι,1234
αἷμα,1225
γνώμη,1223
μένω,1221
δράω,1214
τροφή,1201
προστίθημι,1198
πούς,1187
αἰσθάνομαι,1183
ἀφίημι,1175
πίνω,1175
κτάομαι,1160
ἔτος,1158
τέλος,1157
βουλεύω,1148
παύω,1140
χαλεπός,1139
νόος,1134
σημεῖον,1128
τοιόσδε,1125
ἥλιος,1124
πόνος,1118
τρίτος,1110
οἰκεῖος,1101
δέχομαι,1096
σημαίνω,1095
ἀπέρχομαι,1093
κρατέω,1092
πειράω,1092
Πέρσης,1090
πάθος,1079
ἀφαιρέω,1077
νύξ,1077
ἰσχυρός,1076
ἐχθρός,1054
ἱερός,1031
αἴσθησις,1027
αἰσχρός,1021
ἔνειμι,1021
πυρετός,1020
κύριος,1017
χάρις,1011
διαφορά,1011
ἀήρ,1005
κατηγορέω,1002
οἷος,999
τύχη,992
μετέχω,987
κίνδυνος,983
στρατηγός,983
ὀστέον,980
ἔξεστι,977
ὀρθός,976
πρέσβυς,975
ὁδός,972
ἀναγκάζω,971
σχῆμα,969
ἱκανός,967
χωρίον,965
ἀποκρίνω,964
κύκλος,960
ψυχρός,956
λανθάνω,953
σοφός,951
ῥᾴδιος,949
ποταμός,948
γένεσις,945
ἀποκτείνω,944
καιρός,944
ἐρωτάω,943
ἄρχων,941
διδάσκω,941
παρασκευάζω,935
στόμα,934
βάρβαρος,933
βοηθέω,933
μεταβάλλω,928
ἡμέτερος,926
πρᾶξις,925
ὅρος,922
ὀξύς,918
οἰκία,918
κωλύω,915
φυλάσσω,915
λεπτός,911
τεῖχος,905
μόριον,903
μέλας,902
πορεύω,901
οἰκέω,899
πυνθάνομαι,896
χαίρω,896
ἐπιχειρέω,892
μακρός,890
καταλείπω,876
πνεῦμα,874
διαφθείρω,873
τέκνον,870
τιμάω,869
τρέφω,869
εἰσέρχομαι,869
δεύτερος,860
νικάω,859
χρήσιμος,859
ἀδελφός,858
φοβέω,856
τέσσαρες,851
ἐπαινέω,851
ἄμφω,850
τίκτω,847
ὑμέτερος,845
κρατύς,842
λύω,842
πονηρός,838
θάνατος,836
δηλόω,834
Ἑλλάς,828
παραδίδωμι,824
τάσσω,823
ἐργάζομαι,822
ὅπλον,821
ὀδύνη,809
υἱός,806
οἶκος,806
φαῦλος,806
φιλέω,804
τιμή,797
φρονέω,797
ξηρός,795
ἐξέρχομαι,784
μάχη,783
εἰρήνη,782
σάρξ,779
ὑπολαμβάνω,778
ἕπομαι,774
ἀπαλλάσσω,772
συλλογισμός,761
ἱππεύς,757
συνίστημι,754
πλέω,753
ἐπιθυμέω,752
ὕλη,752
μαρτυρέω,748
χειμών,747
μάρτυς,744
φιλία,739
ἀγών,738
φράζω,734
ἄρσην,732
ψευδής,728
καρπός,727
θαυμάζω,726
ὄψις,725
διαλέγω,725
φλέψ,724
λείπω,721
συμφορά,719
φωνή,719
ἄπειρος,716
ὠφελέω,715
Φίλιππος,712
πιστεύω,711
μιμνῄσκω,708
ὁρίζω,705
ἐπιδείκνυμι,700
τολμάω,697
βαρύς,696
ἄδικος,694
διαιρέω,693
δόμος,692
Ἀργεῖος,688
βραχύς,686
βουλή,685
ἀργύριον,684
θῆλυς,684
μάχομαι,683
θεῖος,682
ὥρα,681
Θηβαῖος,680
τάξις,680
σκέπτομαι,678
θυγάτηρ,678
κινδυνεύω,677
ὀφθαλμός,676
ἔσχατος,676
ἐμβάλλω,669
στράτευμα,669
ὕστερος,667
δοῦλος,666
πολεμέω,664
πέντε,664
διέρχομαι,664
σιτίον,664
ἑκών,660
αὐξάνω,658
δεξιός,658
στρατιά,654
βία,652
στρατεύω,650
χωρέω,649
ἐπιμελέομαι,648
δεῖ,648
ἀφίστημι,647
μεταβολή,645
ἐπέρχομαι,642
φόβος,640
ἀλήθεια,640
φάρμακον,640
ἀναιρέω,638
διώκω,638
παλαιός,635
δέκα,629
ἐλεύθερος,629
κομίζω,627
κατέχω,626
διάνοια,625
ξύλον,624
ἐλπίς,623
ἀποδείκνυμι,614
δείδω,613
ἐπιτήδειος,613
ὁρμάω,609
ῥέω,609
ἁμαρτάνω,608
